"filename", "language", "Python", "comment", "blank", "total"
"/Users/elias/Desktop/qnlib/qnlib/__init__.py", "Python", 45, 5, 5, 55
"/Users/elias/Desktop/qnlib/qnlib/benchmarking/__init__.py", "Python", 8, 0, 2, 10
"/Users/elias/Desktop/qnlib/qnlib/benchmarking/benchmarking.py", "Python", 260, 108, 61, 429
"/Users/elias/Desktop/qnlib/qnlib/benchmarking/tableau.py", "Python", 252, 145, 53, 450
"/Users/elias/Desktop/qnlib/qnlib/compiling/__init__.py", "Python", 4, 0, 2, 6
"/Users/elias/Desktop/qnlib/qnlib/compiling/compiler.py", "Python", 191, 19, 18, 228
"/Users/elias/Desktop/qnlib/qnlib/compiling/decompose.py", "Python", 83, 94, 15, 192
"/Users/elias/Desktop/qnlib/qnlib/compiling/rand_compile.py", "Python", 82, 31, 20, 133
"/Users/elias/Desktop/qnlib/qnlib/gates/__init__.py", "Python", 46, 3, 3, 52
"/Users/elias/Desktop/qnlib/qnlib/gates/multi_qudit.py", "Python", 67, 10, 21, 98
"/Users/elias/Desktop/qnlib/qnlib/gates/single_qudit.py", "Python", 320, 116, 112, 548
"/Users/elias/Desktop/qnlib/qnlib/gates/utils.py", "Python", 136, 206, 58, 400
"/Users/elias/Desktop/qnlib/qnlib/noise/__init__.py", "Python", 4, 0, 2, 6
"/Users/elias/Desktop/qnlib/qnlib/noise/amplitude_damping.py", "Python", 25, 7, 10, 42
"/Users/elias/Desktop/qnlib/qnlib/noise/depolarizing.py", "Python", 24, 5, 8, 37
"/Users/elias/Desktop/qnlib/qnlib/noise/trit_flip.py", "Python", 33, 7, 10, 50
"/Users/elias/Desktop/qnlib/qnlib/utils/math.py", "Python", 98, 97, 28, 223
"/Users/elias/Desktop/qnlib/qnlib/utils/sun_factorization.py", "Python", 133, 108, 48, 289
"/Users/elias/Desktop/qnlib/qnlib/utils/sun_reconstruction.py", "Python", 24, 34, 14, 72
"/Users/elias/Desktop/qnlib/qnlib/utils/verification.py", "Python", 29, 19, 7, 55
"/Users/elias/Desktop/qnlib/qnlib/utils/visualization.py", "Python", 16, 7, 4, 27
"Total", "-", 1880, 1021, 501, 3402